age,workclass,education,experience,occupation,hours_per_week,salary
42,Private,High School,22,Sales,42,50K-75K
22,Private,Associate,2,Craft-Repair,54,25K-50K
28,Private,Bachelors,3,Tech-Support,39,25K-50K
51,State-Gov,Bachelors,28,Prof-Specialty,46,75K-100K
41,Private,High School,23,Other-Service,36,25K-50K
32,Private,Masters,8,Prof-Specialty,43,50K-75K
55,Self-Emp,Bachelors,32,Other-Service,45,50K-75K
25,Private,High School,9,Sales,35,<=25K
22,,High School,7,Farming-Fishing,34,25K-50K
65,State-Gov,High School,46,Other-Service,36,50K-75K
43,Private,Bachelors,22,Admin,46,25K-50K
35,Private,High School,20,Exec-Managerial,45,50K-75K
23,Private,High School,2,Other-Service,20,<=25K
54,Self-Emp,Bachelors,34,Admin,36,50K-75K
65,Private,High School,45,Exec-Managerial,43,75K-100K
30,Private,High School,9,Prof-Specialty,52,25K-50K
45,Private,Associate,22,Admin,39,50K-75K
22,Self-Emp,Bachelors,0,Craft-Repair,42,25K-50K
30,Private,Bachelors,5,Tech-Support,40,25K-50K
34,Self-Emp,Associate,16,Sales,35,25K-50K
57,Private,Bachelors,37,Prof-Specialty,29,75K-100K
62,Private,Bachelors,42,Exec-Managerial,29,>100K
49,Federal-Gov,High School,31,Other-Service,46,50K-75K
46,Private,High School,28,Prof-Specialty,40,50K-75K
20,Private,Associate,2,Exec-Managerial,34,25K-50K
57,Private,Associate,35,Prof-Specialty,28,75K-100K
51,Private,Bachelors,27,Craft-Repair,46,50K-75K
57,Private,Bachelors,34,Other-Service,32,50K-75K
44,Local-Gov,Associate,23,Prof-Specialty,45,50K-75K
30,State-Gov,High School,14,Exec-Managerial,38,50K-75K
62,Private,High School,47,Tech-Support,39,75K-100K
50,Federal-Gov,Bachelors,25,Other-Service,54,50K-75K
23,Private,Associate,0,Craft-Repair,23,<=25K
41,Private,Bachelors,17,Admin,32,25K-50K
36,Private,High School,21,Prof-Specialty,52,50K-75K
33,Private,Bachelors,8,Exec-Managerial,47,50K-75K
57,Private,Masters,34,Admin,38,50K-75K
45,Federal-Gov,High School,27,Prof-Specialty,54,50K-75K
50,Self-Emp,Associate,27,Sales,48,50K-75K
65,Private,Doctorate,35,Prof-Specialty,35,75K-100K
58,Private,High School,39,Sales,31,50K-75K
30,Private,Bachelors,9,Sales,51,25K-50K
60,Local-Gov,High School,39,Admin,33,50K-75K
62,,Bachelors,40,Exec-Managerial,41,>100K
42,Private,High School,21,Sales,51,50K-75K
59,Federal-Gov,Masters,33,Other-Service,41,75K-100K
53,Private,Bachelors,32,Admin,40,50K-75K
44,Private,Bachelors,19,Craft-Repair,26,25K-50K
55,Private,Bachelors,36,Exec-Managerial,47,75K-100K
24,,Bachelors,3,Other-Service,25,<=25K
22,Private,Associate,0,Sales,50,25K-50K
60,Private,Masters,36,Admin,26,50K-75K
62,Private,Masters,38,Prof-Specialty,33,75K-100K
48,Private,Associate,29,Prof-Specialty,49,50K-75K
40,Private,Masters,18,Tech-Support,51,50K-75K
59,Private,Bachelors,36,Admin,40,50K-75K
27,Private,Bachelors,4,Exec-Managerial,37,25K-50K
49,Federal-Gov,Associate,27,Sales,41,50K-75K
60,Private,High School,44,Tech-Support,24,75K-100K
47,Private,High School,28,Exec-Managerial,48,50K-75K
56,Private,High School,39,,35,75K-100K
48,Private,Bachelors,25,Farming-Fishing,37,50K-75K
35,Private,Associate,13,Admin,40,25K-50K
53,Federal-Gov,Associate,30,Prof-Specialty,42,75K-100K
19,Private,Doctorate,0,Sales,43,25K-50K
31,State-Gov,Associate,12,Sales,49,25K-50K
30,,Associate,11,Prof-Specialty,50,50K-75K
46,Private,High School,26,Craft-Repair,39,25K-50K
29,Self-Emp,High School,14,Farming-Fishing,45,25K-50K
56,Private,Bachelors,32,Craft-Repair,46,75K-100K
19,Private,Bachelors,0,Sales,26,<=25K
49,Private,Bachelors,27,Sales,36,50K-75K
30,Private,High School,12,Craft-Repair,32,25K-50K
63,Private,Bachelors,41,Exec-Managerial,40,75K-100K
44,State-Gov,High School,29,Sales,50,50K-75K
58,Private,High School,37,Exec-Managerial,46,75K-100K
34,Local-Gov,High School,17,Other-Service,46,25K-50K
57,Private,High School,39,Craft-Repair,36,75K-100K
48,Private,High School,31,Exec-Managerial,36,75K-100K
51,Private,High School,31,Farming-Fishing,35,50K-75K
41,Private,Doctorate,11,Craft-Repair,32,25K-50K
62,Private,High School,42,Admin,44,75K-100K
52,Private,High School,35,Admin,35,50K-75K
65,Local-Gov,High School,49,Prof-Specialty,29,75K-100K
23,Self-Emp,Bachelors,4,Tech-Support,42,25K-50K
36,Self-Emp,High School,20,Craft-Repair,40,50K-75K
47,Private,Masters,23,Other-Service,42,25K-50K
24,Local-Gov,Masters,2,Sales,51,25K-50K
27,Private,High School,7,Craft-Repair,40,25K-50K
58,State-Gov,Associate,41,Exec-Managerial,34,75K-100K
49,Private,High School,33,Tech-Support,34,50K-75K
51,Private,Bachelors,28,Craft-Repair,32,50K-75K
45,Without-Pay,Associate,22,Prof-Specialty,33,25K-50K
32,Private,High School,15,Prof-Specialty,29,25K-50K
47,Federal-Gov,High School,32,Admin,40,50K-75K
54,Private,Bachelors,32,Prof-Specialty,34,50K-75K
46,Private,Associate,24,Tech-Support,41,50K-75K
39,State-Gov,High School,18,Exec-Managerial,37,50K-75K
21,Private,Bachelors,0,Sales,39,25K-50K
37,Self-Emp,Bachelors,13,Prof-Specialty,54,50K-75K
49,Private,Masters,27,Admin,49,50K-75K
53,Private,High School,38,Admin,27,50K-75K
21,Private,Bachelors,0,Sales,35,<=25K
44,,Bachelors,25,Craft-Repair,24,50K-75K
34,Self-Emp,High School,15,Admin,36,50K-75K
29,Private,Bachelors,6,Prof-Specialty,42,25K-50K
39,Private,Associate,22,Admin,48,50K-75K
34,Self-Emp,Masters,12,Prof-Specialty,48,50K-75K
27,Private,High School,10,Craft-Repair,42,<=25K
18,Federal-Gov,Bachelors,0,Sales,32,25K-50K
39,Local-Gov,Associate,20,Sales,46,50K-75K
43,Private,Masters,21,Sales,40,25K-50K
35,Private,High School,15,Prof-Specialty,41,25K-50K
31,Private,Masters,10,Sales,55,25K-50K
64,Self-Emp,Masters,43,Exec-Managerial,32,>100K
46,Private,High School,31,Admin,56,50K-75K
29,Self-Emp,Bachelors,10,Exec-Managerial,54,50K-75K
53,Private,Doctorate,23,Prof-Specialty,40,75K-100K
52,State-Gov,High School,33,Admin,41,50K-75K
29,Self-Emp,Associate,11,Craft-Repair,34,25K-50K
24,Local-Gov,Bachelors,0,Other-Service,41,<=25K
46,Private,High School,30,Sales,40,50K-75K
28,Private,High School,10,Craft-Repair,34,25K-50K
50,Private,High School,32,Tech-Support,34,50K-75K
23,Private,High School,5,Prof-Specialty,38,25K-50K
64,Private,Associate,43,Tech-Support,39,50K-75K
32,Local-Gov,High School,15,Other-Service,26,25K-50K
49,State-Gov,Masters,22,Tech-Support,49,50K-75K
28,Private,Bachelors,9,Craft-Repair,36,25K-50K
40,Self-Emp,High School,21,Craft-Repair,37,50K-75K
43,Private,Bachelors,19,Sales,41,50K-75K
51,Private,Bachelors,27,Sales,37,50K-75K
63,State-Gov,Masters,39,Craft-Repair,49,75K-100K
51,Local-Gov,High School,30,Tech-Support,37,50K-75K
46,Private,High School,28,,35,25K-50K
21,Self-Emp,Masters,0,Other-Service,44,25K-50K
34,State-Gov,Masters,8,Prof-Specialty,46,50K-75K
52,Private,Bachelors,33,,60,75K-100K
30,Private,Bachelors,9,Sales,24,25K-50K
58,Self-Emp,High School,43,Other-Service,40,50K-75K
56,Self-Emp,Bachelors,35,Admin,45,75K-100K
32,Private,High School,17,Tech-Support,32,25K-50K
46,Private,High School,29,,51,50K-75K
46,Private,Bachelors,24,Farming-Fishing,34,25K-50K
28,Self-Emp,High School,12,Admin,40,25K-50K
49,Private,Associate,26,Other-Service,48,25K-50K
19,Private,Masters,0,Exec-Managerial,31,25K-50K
64,State-Gov,High School,45,Admin,38,50K-75K
31,Private,Doctorate,5,Prof-Specialty,46,25K-50K
37,State-Gov,Doctorate,10,Admin,41,50K-75K
39,Local-Gov,Bachelors,14,Sales,45,50K-75K
28,Self-Emp,High School,11,Craft-Repair,46,25K-50K
44,Local-Gov,High School,29,Sales,35,25K-50K
20,Local-Gov,Associate,0,Tech-Support,52,25K-50K
34,Private,High School,15,Tech-Support,33,25K-50K
61,Self-Emp,High School,41,Prof-Specialty,50,75K-100K
45,Private,Doctorate,21,Craft-Repair,42,50K-75K
46,Private,High School,25,Sales,35,25K-50K
38,Private,Bachelors,18,Sales,33,50K-75K
64,Private,High School,47,Sales,42,75K-100K
33,Private,Bachelors,14,Tech-Support,38,50K-75K
54,Private,Masters,30,Exec-Managerial,43,75K-100K
37,Private,High School,21,Admin,38,25K-50K
23,Local-Gov,High School,7,Craft-Repair,40,<=25K
36,Private,Bachelors,14,Other-Service,44,25K-50K
22,Private,Bachelors,0,Craft-Repair,39,25K-50K
20,Private,Bachelors,0,Admin,37,<=25K
18,Private,High School,2,Exec-Managerial,42,25K-50K
55,Self-Emp,High School,34,Craft-Repair,37,75K-100K
32,Private,Masters,8,Tech-Support,45,25K-50K
51,Private,Masters,25,Other-Service,43,50K-75K
52,State-Gov,Associate,34,Other-Service,45,50K-75K
42,Private,Bachelors,22,Admin,45,50K-75K
41,Federal-Gov,Associate,23,Exec-Managerial,38,50K-75K
29,Private,Associate,8,Admin,24,<=25K
35,Private,High School,14,Sales,38,25K-50K
32,Private,Associate,9,Craft-Repair,41,25K-50K
61,Private,Bachelors,39,Farming-Fishing,39,75K-100K
33,Private,High School,17,Other-Service,34,25K-50K
44,Private,Associate,27,Admin,49,50K-75K
25,Self-Emp,Bachelors,5,Other-Service,33,<=25K
63,Self-Emp,Bachelors,41,Craft-Repair,34,75K-100K
42,Private,Bachelors,17,Other-Service,36,25K-50K
34,Private,Masters,10,Other-Service,37,25K-50K
46,Local-Gov,High School,28,Exec-Managerial,35,50K-75K
25,Private,Bachelors,3,Sales,39,25K-50K
32,Private,Bachelors,10,Admin,40,25K-50K
44,Private,Bachelors,22,Admin,32,50K-75K
63,Self-Emp,High School,46,Prof-Specialty,31,75K-100K
24,Private,High School,7,Tech-Support,45,25K-50K
20,Local-Gov,Masters,0,Exec-Managerial,39,25K-50K
46,,Associate,28,Admin,48,50K-75K
61,Private,Masters,40,Farming-Fishing,45,50K-75K
41,,Bachelors,22,Admin,37,50K-75K
20,Private,Bachelors,0,Exec-Managerial,43,25K-50K
37,Private,Bachelors,12,Exec-Managerial,45,50K-75K
63,Local-Gov,Bachelors,40,Admin,33,75K-100K
32,Private,Associate,9,Prof-Specialty,27,25K-50K
42,Federal-Gov,Bachelors,23,Exec-Managerial,32,75K-100K
47,Private,Bachelors,27,Exec-Managerial,44,50K-75K
31,Private,Associate,12,Craft-Repair,53,25K-50K
24,Private,Associate,1,Sales,39,<=25K
34,Private,High School,15,Other-Service,50,25K-50K
61,Private,Masters,37,Other-Service,47,50K-75K
37,Federal-Gov,High School,17,Craft-Repair,34,25K-50K
53,Private,Bachelors,32,Tech-Support,39,50K-75K
26,Private,Associate,7,Sales,45,25K-50K
55,Private,Associate,34,Exec-Managerial,30,75K-100K
65,Federal-Gov,Bachelors,43,Sales,46,75K-100K
39,Federal-Gov,High School,21,Admin,48,50K-75K
19,Private,Bachelors,0,Sales,46,<=25K
41,Private,Bachelors,19,Exec-Managerial,39,50K-75K
25,Self-Emp,Bachelors,2,Admin,43,25K-50K
28,Self-Emp,High School,12,Other-Service,47,25K-50K
30,Private,Masters,6,Prof-Specialty,28,25K-50K
34,Private,Bachelors,14,Admin,20,25K-50K
25,State-Gov,Masters,4,Craft-Repair,44,25K-50K
38,Private,Associate,21,Other-Service,35,25K-50K
35,Private,Bachelors,15,Sales,41,50K-75K
47,Private,Masters,22,Admin,41,50K-75K
35,Private,Masters,12,Tech-Support,49,50K-75K
63,Local-Gov,Associate,44,Craft-Repair,41,75K-100K
64,Private,High School,47,Sales,44,75K-100K
48,Self-Emp,Associate,25,Craft-Repair,43,50K-75K
55,Private,Associate,36,Prof-Specialty,46,75K-100K
49,State-Gov,High School,30,Prof-Specialty,35,50K-75K
28,Private,High School,8,Exec-Managerial,42,25K-50K
62,Private,Masters,41,Tech-Support,21,75K-100K
42,Federal-Gov,High School,24,Admin,34,50K-75K
50,Private,Bachelors,29,Tech-Support,48,50K-75K
55,Private,High School,34,Prof-Specialty,29,50K-75K
58,Private,High School,43,Other-Service,30,75K-100K
25,Private,High School,10,Craft-Repair,45,25K-50K
28,Private,High School,12,Admin,35,25K-50K
39,Self-Emp,Bachelors,14,Admin,50,50K-75K
41,Private,Masters,16,Craft-Repair,40,25K-50K
58,Private,High School,38,Other-Service,52,50K-75K
34,Private,Associate,15,Admin,53,25K-50K
29,Private,Associate,10,Prof-Specialty,50,50K-75K
63,Self-Emp,Masters,36,Tech-Support,35,75K-100K
49,Federal-Gov,Bachelors,26,Tech-Support,31,50K-75K
32,Private,Bachelors,7,Prof-Specialty,50,50K-75K
33,,Bachelors,8,Craft-Repair,39,25K-50K
39,Private,Bachelors,15,Sales,41,25K-50K
45,Private,High School,26,Prof-Specialty,49,50K-75K
37,Private,Associate,15,Prof-Specialty,31,50K-75K
50,Private,Masters,25,,44,75K-100K
27,Private,Bachelors,6,,36,25K-50K
57,,Bachelors,35,Admin,46,75K-100K
49,,Bachelors,29,Admin,43,50K-75K
50,Private,High School,32,Prof-Specialty,47,50K-75K
19,Local-Gov,Bachelors,0,Exec-Managerial,36,25K-50K
50,Private,Bachelors,27,Admin,34,25K-50K
50,Private,Associate,30,Exec-Managerial,40,75K-100K
58,Private,Bachelors,33,Craft-Repair,35,75K-100K
30,State-Gov,Masters,7,Exec-Managerial,34,25K-50K
47,Private,High School,31,Exec-Managerial,34,75K-100K
50,,Associate,32,Prof-Specialty,45,75K-100K
30,Private,Associate,13,Sales,55,25K-50K
43,State-Gov,Bachelors,23,Exec-Managerial,46,50K-75K
39,Self-Emp,High School,22,Admin,45,50K-75K
56,Private,Bachelors,34,Exec-Managerial,45,75K-100K
19,State-Gov,Masters,0,Prof-Specialty,32,25K-50K
55,Self-Emp,Associate,37,Admin,45,50K-75K
56,Local-Gov,Masters,31,Admin,25,75K-100K
43,Local-Gov,Doctorate,13,Sales,42,50K-75K
63,Private,High School,44,Prof-Specialty,45,75K-100K
32,Self-Emp,High School,14,Sales,46,25K-50K
51,Private,Masters,28,Sales,45,75K-100K
59,Private,Masters,36,Prof-Specialty,30,75K-100K
61,Private,High School,42,Sales,34,75K-100K
57,Private,High School,37,Tech-Support,49,75K-100K
28,Private,High School,9,Other-Service,42,<=25K
20,Local-Gov,Doctorate,0,Craft-Repair,42,25K-50K
23,Private,High School,8,Sales,35,25K-50K
26,Private,Bachelors,3,Prof-Specialty,31,25K-50K
23,Private,Bachelors,0,Prof-Specialty,34,25K-50K
26,Private,High School,6,Other-Service,28,<=25K
56,Local-Gov,Bachelors,36,Exec-Managerial,44,75K-100K
48,Private,High School,33,Prof-Specialty,16,50K-75K
49,Private,Masters,27,Other-Service,34,50K-75K
58,Local-Gov,High School,38,Admin,55,75K-100K
29,Private,Bachelors,5,Prof-Specialty,38,25K-50K
25,Local-Gov,Bachelors,0,Exec-Managerial,33,25K-50K
25,Private,High School,5,Other-Service,57,<=25K
45,,High School,29,Farming-Fishing,36,50K-75K
37,Private,Associate,15,Sales,55,50K-75K
64,Local-Gov,High School,47,Sales,37,50K-75K
24,Private,Bachelors,0,Sales,47,25K-50K
28,Private,Bachelors,4,Admin,58,25K-50K
37,Federal-Gov,Associate,19,Exec-Managerial,41,50K-75K
33,Private,Bachelors,13,Exec-Managerial,37,50K-75K
21,Self-Emp,Bachelors,0,Prof-Specialty,45,25K-50K
23,Self-Emp,Bachelors,3,Prof-Specialty,32,50K-75K
39,Private,Associate,16,Admin,50,25K-50K
43,Private,High School,27,Prof-Specialty,34,50K-75K
20,Federal-Gov,High School,3,Other-Service,27,<=25K
58,State-Gov,Bachelors,35,Exec-Managerial,39,75K-100K
59,Private,Associate,40,Admin,36,75K-100K
31,Private,Associate,14,Admin,20,25K-50K
28,Private,High School,11,Sales,40,25K-50K
35,Private,Bachelors,10,Craft-Repair,31,25K-50K
29,Private,High School,8,Sales,36,<=25K
40,State-Gov,High School,22,Craft-Repair,31,25K-50K
29,Self-Emp,Associate,11,Craft-Repair,45,25K-50K
30,Self-Emp,High School,12,,39,50K-75K
42,Private,Bachelors,17,Tech-Support,28,50K-75K
62,Private,Associate,44,Prof-Specialty,51,75K-100K
36,Self-Emp,Associate,13,Craft-Repair,42,25K-50K
63,Self-Emp,Bachelors,38,Admin,36,75K-100K
53,Private,High School,34,Farming-Fishing,33,50K-75K
62,Private,High School,45,Prof-Specialty,39,75K-100K
25,Private,Masters,1,Tech-Support,29,25K-50K
46,Private,Associate,26,Exec-Managerial,50,50K-75K
49,Private,Associate,27,Tech-Support,49,50K-75K
61,Private,High School,46,Exec-Managerial,37,75K-100K
35,Private,Associate,14,Prof-Specialty,36,50K-75K
23,Federal-Gov,Bachelors,0,Admin,32,25K-50K
35,Private,Bachelors,10,Sales,42,25K-50K
36,Private,Bachelors,13,Sales,42,25K-50K
39,State-Gov,High School,23,Exec-Managerial,45,50K-75K
54,Private,High School,36,Tech-Support,42,75K-100K
49,State-Gov,Bachelors,24,Prof-Specialty,32,75K-100K
58,Self-Emp,Masters,37,Sales,34,75K-100K
20,Local-Gov,High School,0,,41,<=25K
45,Private,Associate,25,Admin,34,50K-75K
27,Private,High School,10,,51,25K-50K
52,Private,High School,37,Admin,39,50K-75K
46,Self-Emp,High School,27,Other-Service,28,25K-50K
32,Private,High School,14,Prof-Specialty,39,50K-75K
50,Private,Bachelors,29,Farming-Fishing,38,25K-50K
24,Private,Bachelors,0,Admin,50,<=25K
29,Private,High School,13,Craft-Repair,40,25K-50K
47,Self-Emp,High School,28,Prof-Specialty,44,75K-100K
38,Private,Bachelors,18,Prof-Specialty,38,50K-75K
48,Private,High School,33,Tech-Support,48,50K-75K
41,Private,Bachelors,16,Tech-Support,50,50K-75K
37,Self-Emp,High School,21,Craft-Repair,32,25K-50K
54,Federal-Gov,Bachelors,29,Prof-Specialty,35,75K-100K
21,Private,High School,6,Prof-Specialty,38,25K-50K
45,Private,High School,28,Admin,47,50K-75K
61,Private,High School,43,Sales,34,50K-75K
37,Private,High School,17,Farming-Fishing,22,25K-50K
41,Private,Associate,22,Exec-Managerial,46,50K-75K
49,Private,Bachelors,25,Craft-Repair,33,50K-75K
58,Federal-Gov,High School,42,Tech-Support,37,75K-100K
53,Local-Gov,High School,33,Craft-Repair,36,50K-75K
51,Private,Bachelors,31,Admin,23,50K-75K
53,Private,Bachelors,29,Admin,30,50K-75K
19,Private,Masters,0,Exec-Managerial,46,25K-50K
32,Private,Bachelors,11,Prof-Specialty,39,50K-75K
51,Private,Associate,30,Tech-Support,47,75K-100K
53,Self-Emp,Bachelors,31,Prof-Specialty,52,75K-100K
23,Private,Masters,0,Exec-Managerial,26,25K-50K
56,Self-Emp,Bachelors,31,Other-Service,37,50K-75K
59,Private,High School,38,Admin,39,75K-100K
29,Local-Gov,High School,8,Admin,52,<=25K
20,Private,High School,5,Other-Service,31,25K-50K
62,Self-Emp,Bachelors,40,Prof-Specialty,42,75K-100K
35,,Bachelors,11,Prof-Specialty,50,50K-75K
57,Self-Emp,Bachelors,37,Admin,47,75K-100K
38,Private,High School,23,Other-Service,44,50K-75K
32,Private,Bachelors,8,Craft-Repair,34,25K-50K
50,Private,Bachelors,29,Craft-Repair,48,50K-75K
52,Private,High School,34,,27,50K-75K
43,Private,Bachelors,23,Prof-Specialty,44,50K-75K
25,Private,Associate,7,Tech-Support,26,25K-50K
53,Private,Masters,31,Exec-Managerial,54,75K-100K
65,Without-Pay,Bachelors,40,Craft-Repair,30,50K-75K
47,Private,Bachelors,27,,36,50K-75K
40,Self-Emp,Bachelors,20,Prof-Specialty,53,50K-75K
59,Private,Masters,35,Sales,43,50K-75K
61,Private,Associate,39,Craft-Repair,34,50K-75K
31,Private,High School,16,Prof-Specialty,40,25K-50K
31,Private,Bachelors,12,Sales,42,25K-50K
19,Private,High School,0,Exec-Managerial,43,25K-50K
54,Private,Associate,33,Farming-Fishing,38,50K-75K
22,Private,Masters,0,Tech-Support,37,25K-50K
55,Federal-Gov,Bachelors,34,Admin,45,75K-100K
62,Private,Associate,42,Admin,37,75K-100K
58,State-Gov,High School,39,Sales,31,75K-100K
64,Local-Gov,Associate,43,Sales,37,75K-100K
31,Private,High School,13,Other-Service,39,25K-50K
56,Federal-Gov,High School,36,Sales,42,50K-75K
42,Private,Bachelors,21,Other-Service,41,25K-50K
37,State-Gov,High School,20,Admin,29,25K-50K
19,Private,Associate,0,Other-Service,43,<=25K
56,Private,Associate,35,Sales,38,50K-75K
23,Private,Doctorate,0,Prof-Specialty,35,25K-50K
34,Federal-Gov,Associate,15,Sales,47,25K-50K
42,Federal-Gov,High School,24,Tech-Support,34,50K-75K
45,Private,High School,28,Admin,54,50K-75K
19,Private,Bachelors,0,Prof-Specialty,53,25K-50K
52,Self-Emp,Bachelors,27,Tech-Support,48,75K-100K
54,Self-Emp,Associate,32,Other-Service,34,50K-75K
22,Private,Associate,0,Sales,44,25K-50K
18,Private,High School,0,Sales,42,<=25K
57,State-Gov,Bachelors,37,Sales,34,75K-100K
29,Self-Emp,Bachelors,7,Prof-Specialty,48,50K-75K
53,Private,High School,37,Admin,39,50K-75K
62,Self-Emp,High School,43,Sales,20,50K-75K
40,Private,High School,21,Prof-Specialty,51,50K-75K
64,Federal-Gov,High School,48,Admin,52,75K-100K
48,Private,Bachelors,24,Prof-Specialty,39,50K-75K
28,Private,High School,11,Admin,44,25K-50K
27,State-Gov,High School,6,Prof-Specialty,42,25K-50K
20,Private,High School,2,Farming-Fishing,36,<=25K
31,Federal-Gov,Masters,8,Sales,61,25K-50K
33,Private,Masters,8,Sales,35,25K-50K
27,Local-Gov,High School,10,Other-Service,40,25K-50K
46,Private,High School,30,Prof-Specialty,31,50K-75K
27,Private,High School,11,Exec-Managerial,46,25K-50K
29,Self-Emp,Associate,12,Prof-Specialty,45,50K-75K
47,Self-Emp,High School,32,Sales,46,75K-100K
58,Private,Bachelors,33,Other-Service,30,50K-75K
18,Private,Bachelors,0,Prof-Specialty,42,25K-50K
22,Private,Masters,0,Prof-Specialty,43,25K-50K
37,Private,High School,19,Other-Service,29,25K-50K
25,Self-Emp,Bachelors,5,Prof-Specialty,43,25K-50K
60,Private,Bachelors,38,Exec-Managerial,34,75K-100K
29,State-Gov,High School,10,Farming-Fishing,37,25K-50K
18,Private,Associate,0,Sales,44,<=25K
37,Private,High School,22,Admin,41,25K-50K
45,Private,High School,29,Sales,34,50K-75K
60,Private,High School,39,Farming-Fishing,30,50K-75K
54,Private,Bachelors,32,Prof-Specialty,38,75K-100K
64,Private,Associate,43,Tech-Support,41,75K-100K
54,Self-Emp,Masters,30,Sales,40,75K-100K
29,Private,High School,14,Admin,38,25K-50K
54,Without-Pay,Doctorate,30,Admin,38,50K-75K
61,Local-Gov,High School,41,Other-Service,51,50K-75K
45,Private,Bachelors,20,Prof-Specialty,41,50K-75K
64,Federal-Gov,High School,49,Other-Service,41,75K-100K
32,Private,High School,12,Exec-Managerial,38,25K-50K
23,Private,Masters,2,Prof-Specialty,36,25K-50K
61,Private,High School,45,Exec-Managerial,55,75K-100K
37,State-Gov,Bachelors,16,Other-Service,44,25K-50K
31,Local-Gov,Bachelors,7,,46,25K-50K
19,Private,Associate,0,Other-Service,33,25K-50K
26,Private,Associate,6,Prof-Specialty,47,25K-50K
54,Private,Bachelors,35,Admin,31,50K-75K
37,Private,High School,17,Prof-Specialty,42,50K-75K
43,Private,Bachelors,20,Admin,40,25K-50K
46,Self-Emp,Masters,24,Admin,50,50K-75K
18,Private,High School,0,Sales,36,<=25K
52,Private,High School,34,Tech-Support,44,50K-75K
23,Private,Bachelors,2,Prof-Specialty,43,25K-50K
54,Private,Associate,36,Tech-Support,33,50K-75K
22,Private,Associate,1,Exec-Managerial,44,25K-50K
50,Private,High School,34,Admin,38,50K-75K
31,Local-Gov,Bachelors,7,Prof-Specialty,39,25K-50K
29,Self-Emp,High School,12,Prof-Specialty,37,50K-75K
59,Private,Associate,38,Admin,40,50K-75K
37,Private,Bachelors,16,Craft-Repair,40,25K-50K
41,Private,High School,25,Prof-Specialty,44,50K-75K
60,Self-Emp,Associate,37,Exec-Managerial,42,>100K
51,Private,Doctorate,26,Prof-Specialty,47,75K-100K
42,Local-Gov,Bachelors,18,Exec-Managerial,46,50K-75K
46,Local-Gov,Bachelors,25,Admin,52,50K-75K
56,Private,Associate,33,Prof-Specialty,45,75K-100K
48,Local-Gov,Bachelors,24,Exec-Managerial,41,75K-100K
64,Local-Gov,High School,47,Sales,49,75K-100K
60,Private,High School,43,Prof-Specialty,41,75K-100K
40,Private,High School,24,Prof-Specialty,42,50K-75K
61,Self-Emp,Associate,44,Sales,19,75K-100K
55,Private,Bachelors,34,Craft-Repair,32,50K-75K
37,Private,High School,20,Exec-Managerial,45,50K-75K
40,Private,Bachelors,18,Sales,50,25K-50K
62,Private,Bachelors,43,Prof-Specialty,44,75K-100K
33,Local-Gov,Bachelors,12,Prof-Specialty,44,50K-75K
59,Private,Associate,41,Sales,45,75K-100K
25,Self-Emp,Bachelors,3,Other-Service,40,25K-50K
38,Private,High School,20,Other-Service,32,25K-50K
18,Self-Emp,High School,0,Craft-Repair,45,25K-50K
25,Private,Doctorate,0,Tech-Support,30,25K-50K
46,Private,High School,28,Craft-Repair,43,50K-75K
49,Private,High School,30,Craft-Repair,51,50K-75K
55,State-Gov,Masters,31,Farming-Fishing,42,50K-75K
22,Private,High School,3,Farming-Fishing,44,<=25K
64,Self-Emp,Bachelors,45,Tech-Support,48,75K-100K
39,Private,High School,18,Sales,38,25K-50K
64,Private,Associate,43,Sales,51,75K-100K
51,Federal-Gov,High School,30,Exec-Managerial,48,50K-75K
18,Private,High School,0,Craft-Repair,41,<=25K
43,Private,Associate,20,Prof-Specialty,22,50K-75K
60,Private,Bachelors,37,Craft-Repair,39,50K-75K
27,Private,Bachelors,4,Tech-Support,39,25K-50K
47,Self-Emp,Masters,20,Sales,42,50K-75K
35,Private,High School,20,Admin,51,25K-50K
34,Self-Emp,Bachelors,9,Prof-Specialty,48,50K-75K
43,Self-Emp,Bachelors,24,Craft-Repair,41,50K-75K
25,Private,Masters,0,Other-Service,37,25K-50K
64,Private,High School,49,Exec-Managerial,25,75K-100K
57,Local-Gov,Bachelors,38,Other-Service,46,50K-75K
29,Local-Gov,Masters,8,Sales,42,25K-50K
44,Private,High School,23,Exec-Managerial,48,50K-75K
25,Private,Masters,2,Sales,43,25K-50K
42,Private,High School,22,Sales,35,25K-50K
63,Private,Bachelors,39,Farming-Fishing,44,50K-75K
21,Self-Emp,Masters,0,Craft-Repair,42,25K-50K
50,Private,Bachelors,29,Admin,48,50K-75K
18,Private,Associate,0,Sales,37,25K-50K
36,Self-Emp,High School,16,Sales,35,25K-50K
48,Federal-Gov,Masters,23,Admin,41,50K-75K
33,Local-Gov,Associate,15,Prof-Specialty,39,50K-75K
31,Private,High School,12,Prof-Specialty,35,50K-75K
65,,Bachelors,40,Exec-Managerial,35,75K-100K
22,Private,Associate,0,Sales,50,25K-50K
58,Self-Emp,High School,43,Sales,39,75K-100K
43,Local-Gov,High School,25,Tech-Support,49,50K-75K
45,Federal-Gov,High School,29,Craft-Repair,57,50K-75K
19,Self-Emp,Bachelors,0,Farming-Fishing,38,25K-50K
23,Private,Bachelors,0,Sales,34,<=25K
26,Private,Bachelors,1,Tech-Support,32,25K-50K
50,Private,Bachelors,29,Sales,49,50K-75K
